Country Name,Country Code,2021 Population
Aruba,ABW,107195
Africa Eastern and Southern,AFE,694665117
Afghanistan,AFG,39835428
Africa Western and Central,AFW,470898870
Angola,AGO,33933611
Albania,ALB,2811666
Andorra,AND,77354
Arab World,ARB,444517783
United Arab Emirates,ARE,9991083
Argentina,ARG,45808747
Armenia,ARM,2968128
American Samoa,ASM,55103
Antigua and Barbuda,ATG,98728
Australia,AUS,25739256
Austria,AUT,8956279
Azerbaijan,AZE,10145212
Burundi,BDI,12255429
Belgium,BEL,11587882
Benin,BEN,12451031
Burkina Faso,BFA,21497097
Bangladesh,BGD,166303494
Bulgaria,BGR,6899125
Bahrain,BHR,1748295
"Bahamas, The",BHS,396914
Bosnia and Herzegovina,BIH,3263459
Belarus,BLR,9340314
Belize,BLZ,404915
Bermuda,BMU,63867
Bolivia,BOL,11832936
Brazil,BRA,213993441
Barbados,BRB,287708
Brunei Darussalam,BRN,441532
Bhutan,BTN,779900
Botswana,BWA,2397240
Central African Republic,CAF,4919987
Canada,CAN,38246108
Central Europe and the Baltics,CEB,101669618
Switzerland,CHE,8697723
Channel Islands,CHI,175244
Chile,CHL,19212362
China,CHN,1412360000
Cote d'Ivoire,CIV,27053629
Cameroon,CMR,27224262
"Congo, Dem. Rep.",COD,92377986
"Congo, Rep.",COG,5657017
Colombia,COL,51265841
Comoros,COM,888456
Cabo Verde,CPV,561901
Costa Rica,CRI,5139053
Caribbean small states,CSS,7481631
Cuba,CUB,11317498
Curacao,CUW,152369
Cayman Islands,CYM,66498
Cyprus,CYP,1215588
Czechia,CZE,10703446
Germany,DEU,83129285
Djibouti,DJI,1002197
Dominica,DMA,72172
Denmark,DNK,5856733
Dominican Republic,DOM,10953714
Algeria,DZA,44616626
East Asia & Pacific (excluding high income),EAP,2122086315
Early-demographic dividend,EAR,3373866849
East Asia & Pacific,EAS,2368622859
Europe & Central Asia (excluding high income),ECA,401828885
Europe & Central Asia,ECS,923753699
Ecuador,ECU,17888474
"Egypt, Arab Rep.",EGY,104258327
Euro area,EMU,342566541
Eritrea,ERI,
Spain,ESP,47326687
Estonia,EST,1329254
Ethiopia,ETH,117876226
European Union,EUU,446946712
Fragile and conflict affected situations,FCS,982980816
Finland,FIN,5541696
Fiji,FJI,902899
France,FRA,67499343
Faroe Islands,FRO,49053
"Micronesia, Fed. Sts.",FSM,116255
Gabon,GAB,2278829
United Kingdom,GBR,67326569
Georgia,GEO,3708610
Ghana,GHA,31732128
Gibraltar,GIB,33691
Guinea,GIN,13497237
"Gambia, The",GMB,2486937
Guinea-Bissau,GNB,2015490
Equatorial Guinea,GNQ,1449891
Greece,GRC,10664568
Grenada,GRD,113015
Greenland,GRL,56653
Guatemala,GTM,17109746
Guam,GUM,170184
Guyana,GUY,790329
High income,HIC,1241374277
"Hong Kong SAR, China",HKG,7413100
Honduras,HND,10062994
Heavily indebted poor countries (HIPC),HPC,845522272
Croatia,HRV,3899000
Haiti,HTI,11541683
Hungary,HUN,9709886
IBRD only,IBD,4895295243
IDA & IBRD total,IBT,6642614110
IDA total,IDA,1747318867
IDA blend,IDB,586883422
Indonesia,IDN,276361788
IDA only,IDX,1160435445
Isle of Man,IMN,85410
India,IND,1393409033
Not classified,INX,
Ireland,IRL,5028230
"Iran, Islamic Rep.",IRN,85028760
Iraq,IRQ,41179351
Iceland,ISL,372295
Israel,ISR,9364000
Italy,ITA,59066225
Jamaica,JAM,2973462
Jordan,JOR,10269022
Japan,JPN,125681593
Kazakhstan,KAZ,19002586
Kenya,KEN,54985702
Kyrgyz Republic,KGZ,6694200
Cambodia,KHM,16946446
Kiribati,KIR,121388
St. Kitts and Nevis,KNA,53546
"Korea, Rep.",KOR,51744876
Kuwait,KWT,4328553
Latin America & Caribbean (excluding high income),LAC,596217644
Lao PDR,LAO,7379358
Lebanon,LBN,6769151
Liberia,LBR,5180208
Libya,LBY,6958538
St. Lucia,LCA,184401
Latin America & Caribbean,LCN,658089208
Least developed countries: UN classification,LDC,1081504804
Low income,LIC,701926973
Liechtenstein,LIE,38254
Sri Lanka,LKA,22156000
Lower middle income,LMC,3363196656
Low & middle income,LMY,6566551568
Lesotho,LSO,2159067
Late-demographic dividend,LTE,2322070390
Lithuania,LTU,2795321
Luxembourg,LUX,639070
Latvia,LVA,1883162
"Macao SAR, China",MAC,658391
St. Martin (French part),MAF,39239
Morocco,MAR,37344787
Monaco,MCO,39520
Moldova,MDA,2573928
Madagascar,MDG,28427333
Maldives,MDV,543620
Middle East & North Africa,MEA,472494995
Mexico,MEX,130262220
Marshall Islands,MHL,59618
Middle income,MIC,5864624595
North Macedonia,MKD,2065092
Mali,MLI,20855724
Malta,MLT,516869
Myanmar,MMR,54806014
Middle East & North Africa (excluding high income),MNA,403051615
Montenegro,MNE,620173
Mongolia,MNG,3329282
Northern Mariana Islands,MNP,57910
Mozambique,MOZ,32163045
Mauritania,MRT,4775110
Mauritius,MUS,1266060
Malawi,MWI,19647681
Malaysia,MYS,32776195
North America,NAC,370203720
Namibia,NAM,2587344
New Caledonia,NCL,272620
Niger,NER,25130810
Nigeria,NGA,211400704
Nicaragua,NIC,6702379
Netherlands,NLD,17533405
Norway,NOR,5408320
Nepal,NPL,29674920
Nauru,NRU,10873
New Zealand,NZL,5122600
OECD members,OED,1375820281
Oman,OMN,5223376
Other small states,OSS,32464282
Pakistan,PAK,225199929
Panama,PAN,4381583
Peru,PER,33359416
Philippines,PHL,111046910
Palau,PLW,18174
Papua New Guinea,PNG,9119005
Poland,POL,37781024
Pre-demographic dividend,PRE,997158227
Puerto Rico,PRI,3263584
"Korea, Dem. People's Rep.",PRK,25887045
Portugal,PRT,10299423
Paraguay,PRY,7219641
West Bank and Gaza,PSE,4922749
Pacific island small states,PSS,2566494
Post-demographic dividend,PST,1116655196
French Polynesia,PYF,282534
Qatar,QAT,2930524
Romania,ROU,19115146
Russian Federation,RUS,143446060
Rwanda,RWA,13276517
South Asia,SAS,1877902324
Saudi Arabia,SAU,35340680
Sudan,SDN,44909351
Senegal,SEN,17196308
Singapore,SGP,5453566
Solomon Islands,SLB,703995
Sierra Leone,SLE,8141343
El Salvador,SLV,6518500
San Marino,SMR,34010
Somalia,SOM,16359500
Serbia,SRB,6844078
Sub-Saharan Africa (excluding high income),SSA,1165464785
South Sudan,SSD,11381377
Sub-Saharan Africa,SSF,1165563987
Small states,SST,42512407
Sao Tome and Principe,STP,223364
Suriname,SUR,591798
Slovak Republic,SVK,5447247
Slovenia,SVN,2107007
Sweden,SWE,10415811
Eswatini,SWZ,1172369
Sint Maarten (Dutch part),SXM,42846
Seychelles,SYC,99202
Syrian Arab Republic,SYR,18275704
Turks and Caicos Islands,TCA,39226
Chad,TCD,16914985
East Asia & Pacific (IDA & IBRD countries),TEA,2096155040
Europe & Central Asia (IDA & IBRD countries),TEC,462624055
Togo,TGO,8478242
Thailand,THA,69950844
Tajikistan,TJK,9749625
Turkmenistan,TKM,6117933
Latin America & the Caribbean (IDA & IBRD countries),TLA,642239838
Timor-Leste,TLS,1343875
Middle East & North Africa (IDA & IBRD countries),TMN,398128866
Tonga,TON,106759
South Asia (IDA & IBRD),TSA,1877902324
Sub-Saharan Africa (IDA & IBRD countries),TSS,1165563987
Trinidad and Tobago,TTO,1403374
Tunisia,TUN,11935764
Turkiye,TUR,85042736
Tuvalu,TUV,11925
Tanzania,TZA,61498438
Uganda,UGA,47123533
Ukraine,UKR,43814581
Upper middle income,UMC,2501427939
Uruguay,URY,3485152
United States,USA,331893745
Uzbekistan,UZB,34915100
St. Vincent and the Grenadines,VCT,111269
"Venezuela, RB",VEN,28704947
British Virgin Islands,VGB,30423
Virgin Islands (U.S.),VIR,105870
Vietnam,VNM,98168829
Vanuatu,VUT,314464
Samoa,WSM,200144
Kosovo,XKX,1806279
"Yemen, Rep.",YEM,30490639
South Africa,ZAF,60041996
Zambia,ZMB,18920657
Zimbabwe,ZWE,15092171
